target_zones: [2],                             avoid_zones: [],                             pred_vfs_stl: 0.21105127553215802, gt_vfs_stl: 0.29034326048870573,                             state_vfs_stl: -2.2216881572705587,                             num_nodes: 32257,                             is_success: 0,                             complete_tasks: [],                             number_collide: 0
target_zones: [1],                             avoid_zones: [],                             pred_vfs_stl: 0.21559313687640952, gt_vfs_stl: 0.2146909105678786,                             state_vfs_stl: -0.8354641501013665,                             num_nodes: 36423,                             is_success: 0,                             complete_tasks: [],                             number_collide: 0
target_zones: [3],                             avoid_zones: [],                             pred_vfs_stl: 0.16565308092505235, gt_vfs_stl: 0.20519284133256796,                             state_vfs_stl: 0.12070553036949025,                             num_nodes: 38665,                             is_success: 1,                             complete_tasks: [3],                             number_collide: 0
target_zones: [1],                             avoid_zones: [],                             pred_vfs_stl: 0.21575585666658803, gt_vfs_stl: 0.2272239169554703,                             state_vfs_stl: -0.3088598969783216,                             num_nodes: 35371,                             is_success: 0,                             complete_tasks: [],                             number_collide: 0
target_zones: [0],                             avoid_zones: [],                             pred_vfs_stl: 0.15618325025319535, gt_vfs_stl: 0.2585652146577802,                             state_vfs_stl: 0.12331674036907536,                             num_nodes: 39663,                             is_success: 1,                             complete_tasks: [0],                             number_collide: 0
target_zones: [3],                             avoid_zones: [],                             pred_vfs_stl: 0.16871653868243075, gt_vfs_stl: 0.25269184174240455,                             state_vfs_stl: 0.11670925855460404,                             num_nodes: 40143,                             is_success: 1,                             complete_tasks: [3],                             number_collide: 0
target_zones: [1],                             avoid_zones: [],                             pred_vfs_stl: 0.21721008755612822, gt_vfs_stl: 0.25651297448660815,                             state_vfs_stl: -3.7820348269676924,                             num_nodes: 34314,                             is_success: 0,                             complete_tasks: [],                             number_collide: 0
target_zones: [3],                             avoid_zones: [],                             pred_vfs_stl: 0.16611855042414927, gt_vfs_stl: 0.21432292969327146,                             state_vfs_stl: 0.11799248176360551,                             num_nodes: 38804,                             is_success: 1,                             complete_tasks: [3],                             number_collide: 0
target_zones: [2],                             avoid_zones: [],                             pred_vfs_stl: 0.21170819312717457, gt_vfs_stl: 0.2995412639713555,                             state_vfs_stl: -0.5698257946956626,                             num_nodes: 40205,                             is_success: 0,                             complete_tasks: [],                             number_collide: 0
target_zones: [1],                             avoid_zones: [],                             pred_vfs_stl: 0.2157743485342616, gt_vfs_stl: -0.24739646107628083,                             state_vfs_stl: 0.06350792359133985,                             num_nodes: 33108,                             is_success: 1,                             complete_tasks: [1],                             number_collide: 0
target_zones: [1],                             avoid_zones: [],                             pred_vfs_stl: 0.21610442984263684, gt_vfs_stl: 0.2129328374095693,                             state_vfs_stl: -1.6682926278834245,                             num_nodes: 35212,                             is_success: 0,                             complete_tasks: [],                             number_collide: 0
target_zones: [2],                             avoid_zones: [],                             pred_vfs_stl: 0.2113638608517179, gt_vfs_stl: 0.3153144574189305,                             state_vfs_stl: -9.167423666019612,                             num_nodes: 38925,                             is_success: 0,                             complete_tasks: [],                             number_collide: 0
target_zones: [3],                             avoid_zones: [],                             pred_vfs_stl: 0.16253468622462935, gt_vfs_stl: 0.22318515925551288,                             state_vfs_stl: 0.11282366633175281,                             num_nodes: 39980,                             is_success: 1,                             complete_tasks: [3],                             number_collide: 0
target_zones: [0],                             avoid_zones: [],                             pred_vfs_stl: 0.15335192048331192, gt_vfs_stl: 0.21936090728613436,                             state_vfs_stl: 0.11814030375465714,                             num_nodes: 39747,                             is_success: 1,                             complete_tasks: [0],                             number_collide: 0
target_zones: [0],                             avoid_zones: [],                             pred_vfs_stl: 0.15402593275329932, gt_vfs_stl: 0.21379451990798676,                             state_vfs_stl: 0.106714218226824,                             num_nodes: 32660,                             is_success: 1,                             complete_tasks: [0],                             number_collide: 0
target_zones: [2],                             avoid_zones: [],                             pred_vfs_stl: 0.2096233799240864, gt_vfs_stl: 0.3109055426875511,                             state_vfs_stl: -4.328501271657819,                             num_nodes: 36196,                             is_success: 0,                             complete_tasks: [],                             number_collide: 0
target_zones: [1],                             avoid_zones: [],                             pred_vfs_stl: 0.21355660152396097, gt_vfs_stl: 0.2669595565046807,                             state_vfs_stl: -1.187744330125922,                             num_nodes: 35842,                             is_success: 0,                             complete_tasks: [],                             number_collide: 0
target_zones: [2],                             avoid_zones: [],                             pred_vfs_stl: 0.209732009685303, gt_vfs_stl: 0.2635568325885938,                             state_vfs_stl: 0.07475934413777402,                             num_nodes: 31204,                             is_success: 1,                             complete_tasks: [2],                             number_collide: 0
target_zones: [3],                             avoid_zones: [],                             pred_vfs_stl: 0.1642377044315625, gt_vfs_stl: 0.23260728024139732,                             state_vfs_stl: 0.1209235085559073,                             num_nodes: 35890,                             is_success: 1,                             complete_tasks: [3],                             number_collide: 0
target_zones: [3],                             avoid_zones: [],                             pred_vfs_stl: 0.16393141561143842, gt_vfs_stl: 0.2363073565733908,                             state_vfs_stl: 0.11696471427727481,                             num_nodes: 34561,                             is_success: 1,                             complete_tasks: [3],                             number_collide: 0
target_zones: [2],                             avoid_zones: [],                             pred_vfs_stl: 0.21078052272965755, gt_vfs_stl: 0.34449390475455194,                             state_vfs_stl: -1.310813816162444,                             num_nodes: 36085,                             is_success: 0,                             complete_tasks: [],                             number_collide: 0
target_zones: [3],                             avoid_zones: [],                             pred_vfs_stl: 0.16421623302722438, gt_vfs_stl: 0.23994854696427673,                             state_vfs_stl: 0.1204208467536711,                             num_nodes: 40356,                             is_success: 1,                             complete_tasks: [3],                             number_collide: 0
target_zones: [3],                             avoid_zones: [],                             pred_vfs_stl: 0.16746607682911777, gt_vfs_stl: 0.21579619379089673,                             state_vfs_stl: 0.12361677795772058,                             num_nodes: 40210,                             is_success: 1,                             complete_tasks: [3],                             number_collide: 0
target_zones: [1],                             avoid_zones: [],                             pred_vfs_stl: 0.2146178894889055, gt_vfs_stl: 0.2916339849998389,                             state_vfs_stl: 0.051969183419428785,                             num_nodes: 38773,                             is_success: 1,                             complete_tasks: [1],                             number_collide: 0
target_zones: [1],                             avoid_zones: [],                             pred_vfs_stl: 0.21702206366858656, gt_vfs_stl: 0.2607368814058832,                             state_vfs_stl: -5.742530020542863,                             num_nodes: 36260,                             is_success: 0,                             complete_tasks: [],                             number_collide: 0
target_zones: [3],                             avoid_zones: [],                             pred_vfs_stl: 0.16584283568977484, gt_vfs_stl: 0.19793245453906116,                             state_vfs_stl: 0.11697293405448597,                             num_nodes: 40151,                             is_success: 1,                             complete_tasks: [3],                             number_collide: 0
target_zones: [2],                             avoid_zones: [],                             pred_vfs_stl: 0.20965104437881432, gt_vfs_stl: 0.2970410519405863,                             state_vfs_stl: -1.1068383632341492,                             num_nodes: 33301,                             is_success: 0,                             complete_tasks: [],                             number_collide: 0
target_zones: [1],                             avoid_zones: [],                             pred_vfs_stl: 0.2168614336102947, gt_vfs_stl: 0.23880343453853697,                             state_vfs_stl: -1.7849340033430918,                             num_nodes: 34324,                             is_success: 0,                             complete_tasks: [],                             number_collide: 0
target_zones: [0],                             avoid_zones: [],                             pred_vfs_stl: 0.15366619876347515, gt_vfs_stl: 0.2740578406922895,                             state_vfs_stl: 0.12478312924579715,                             num_nodes: 32257,                             is_success: 1,                             complete_tasks: [0],                             number_collide: 0
target_zones: [2],                             avoid_zones: [],                             pred_vfs_stl: 0.20972505458828347, gt_vfs_stl: 0.2704226104762379,                             state_vfs_stl: -1.2386684375856518,                             num_nodes: 36983,                             is_success: 0,                             complete_tasks: [],                             number_collide: 0
target_zones: [2],                             avoid_zones: [],                             pred_vfs_stl: 0.2099719351947111, gt_vfs_stl: 0.33610946729076596,                             state_vfs_stl: -1.5701729020489408,                             num_nodes: 34443,                             is_success: 0,                             complete_tasks: [],                             number_collide: 0
target_zones: [3],                             avoid_zones: [],                             pred_vfs_stl: 0.16474046735818246, gt_vfs_stl: 0.22879736100393647,                             state_vfs_stl: 0.11697452159987635,                             num_nodes: 35897,                             is_success: 1,                             complete_tasks: [3],                             number_collide: 0
target_zones: [2],                             avoid_zones: [],                             pred_vfs_stl: 0.20860841003453298, gt_vfs_stl: 0.3493526467885495,                             state_vfs_stl: -0.7268434740839013,                             num_nodes: 38504,                             is_success: 0,                             complete_tasks: [],                             number_collide: 0
target_zones: [2],                             avoid_zones: [],                             pred_vfs_stl: 0.2100093960451173, gt_vfs_stl: 0.3078416874660978,                             state_vfs_stl: -0.9350441688857276,                             num_nodes: 39787,                             is_success: 0,                             complete_tasks: [],                             number_collide: 0
target_zones: [1],                             avoid_zones: [],                             pred_vfs_stl: 0.21511273642400558, gt_vfs_stl: 0.24792477439914548,                             state_vfs_stl: -1.956273320826961,                             num_nodes: 38218,                             is_success: 0,                             complete_tasks: [],                             number_collide: 0
target_zones: [1],                             avoid_zones: [],                             pred_vfs_stl: 0.21950147267633988, gt_vfs_stl: 0.2377283764169979,                             state_vfs_stl: -1.395276462494218,                             num_nodes: 34237,                             is_success: 0,                             complete_tasks: [],                             number_collide: 0
