target_zones: [2],                             avoid_zones: [],                             pred_vfs_stl: 0.20964516856473142, gt_vfs_stl: 0.2557203766981934,                             state_vfs_stl: -1.031683833742174,                             num_nodes: 30489,                             is_success: 0,                             complete_tasks: [],                             number_collide: 0
target_zones: [1],                             avoid_zones: [],                             pred_vfs_stl: 0.2119731569518433, gt_vfs_stl: 0.1828984954569895,                             state_vfs_stl: 0.08817126001700204,                             num_nodes: 32511,                             is_success: 1,                             complete_tasks: [1],                             number_collide: 0
target_zones: [0],                             avoid_zones: [],                             pred_vfs_stl: 0.1480838173128996, gt_vfs_stl: 0.03913803100585934,                             state_vfs_stl: 0.07965871859335057,                             num_nodes: 29005,                             is_success: 1,                             complete_tasks: [0],                             number_collide: 0
target_zones: [0],                             avoid_zones: [],                             pred_vfs_stl: 0.15304586463207073, gt_vfs_stl: 0.24382925893984683,                             state_vfs_stl: 0.12362011839476797,                             num_nodes: 28879,                             is_success: 1,                             complete_tasks: [0],                             number_collide: 0
target_zones: [0],                             avoid_zones: [],                             pred_vfs_stl: 0.1554176324766974, gt_vfs_stl: 0.22567330127868115,                             state_vfs_stl: 0.12185361178884638,                             num_nodes: 28573,                             is_success: 1,                             complete_tasks: [0],                             number_collide: 0
target_zones: [2],                             avoid_zones: [],                             pred_vfs_stl: 0.2094918728748325, gt_vfs_stl: 0.31998582379040635,                             state_vfs_stl: -0.11291909480266085,                             num_nodes: 30568,                             is_success: 1,                             complete_tasks: [2],                             number_collide: 0
target_zones: [0],                             avoid_zones: [],                             pred_vfs_stl: 0.15160203487474902, gt_vfs_stl: 0.20713432041805074,                             state_vfs_stl: 0.12214166406734508,                             num_nodes: 28375,                             is_success: 1,                             complete_tasks: [0],                             number_collide: 0
target_zones: [2],                             avoid_zones: [],                             pred_vfs_stl: 0.2080443271902472, gt_vfs_stl: 0.2866998056364681,                             state_vfs_stl: -0.27545186329637306,                             num_nodes: 30605,                             is_success: 0,                             complete_tasks: [],                             number_collide: 0
target_zones: [2],                             avoid_zones: [],                             pred_vfs_stl: 0.20755700199577234, gt_vfs_stl: 0.03453552205686563,                             state_vfs_stl: 0.012435322264024669,                             num_nodes: 30609,                             is_success: 1,                             complete_tasks: [2],                             number_collide: 0
target_zones: [3],                             avoid_zones: [],                             pred_vfs_stl: 0.16017605703332938, gt_vfs_stl: 0.24739149899884058,                             state_vfs_stl: 0.11825354024052541,                             num_nodes: 31127,                             is_success: 1,                             complete_tasks: [3],                             number_collide: 0
target_zones: [2],                             avoid_zones: [],                             pred_vfs_stl: 0.21052937676225836, gt_vfs_stl: 0.2988885975782511,                             state_vfs_stl: -0.2958621855620392,                             num_nodes: 30596,                             is_success: 0,                             complete_tasks: [],                             number_collide: 0
target_zones: [3],                             avoid_zones: [],                             pred_vfs_stl: 0.1572085341577543, gt_vfs_stl: -0.42714084804228286,                             state_vfs_stl: -6.965855805250603,                             num_nodes: 31072,                             is_success: 0,                             complete_tasks: [],                             number_collide: 0
target_zones: [3],                             avoid_zones: [],                             pred_vfs_stl: 0.15529136541917235, gt_vfs_stl: 0.2001754110101646,                             state_vfs_stl: 0.10528586593976282,                             num_nodes: 31229,                             is_success: 1,                             complete_tasks: [3],                             number_collide: 0
target_zones: [2],                             avoid_zones: [],                             pred_vfs_stl: 0.211698001736096, gt_vfs_stl: 0.30846682200175257,                             state_vfs_stl: -6.295856264929039,                             num_nodes: 30573,                             is_success: 0,                             complete_tasks: [],                             number_collide: 0
target_zones: [2],                             avoid_zones: [],                             pred_vfs_stl: 0.2109452003313357, gt_vfs_stl: 0.2693855875851352,                             state_vfs_stl: -9.988113775431792,                             num_nodes: 30572,                             is_success: 0,                             complete_tasks: [],                             number_collide: 0
target_zones: [2],                             avoid_zones: [],                             pred_vfs_stl: 0.21306613033891314, gt_vfs_stl: 0.2927830118360675,                             state_vfs_stl: -9.241864201592655,                             num_nodes: 30566,                             is_success: 0,                             complete_tasks: [],                             number_collide: 0
